马克思主义哲学实现了唯物主义自然观和唯物主义历史观的统一的关键是（）,单选,D,发现了阶级斗争在历史发展中的作用,肯定了人民群众在历史上的作用,探讨了人与自然的关系,把实践理解为对象性活动,0
"时间"不仅是人的生命的尺度，而且是人的发展的空间。"这种看法是（）",单选,B,唯心主义的观点,辩证唯物主义和历史唯物主义的观点,形而上学的观点,科学主义的观点,0
"当然，物质和意识的对立，也只是在非常有限的范围内才有绝对的意义。"这里的"有限的范围"是指（）",单选,D,物质能否为意识所正确反映,物质和意识是否相互作用,意识能否反作用于物质,物质第一性和意识第二性,0
"中国古代哲学家李贽提出"是非无定质"，这种观点是（）",单选,D,唯物主义的,唯心主义的,形而上学的,相对主义的,0
"善泳者溺，善骑者堕，各以其好反自为祸。"古人这句话对我们的哲学启示是（）",单选,A,事物在一定的条件下是相互转化的,要透过事物的现象认识事物的本质,人可以得于长处，也可以失于长处,矛盾的主要方面决定事物的性质,0
"雪莱有一句脍炙人口的名言："冬天来了，春天还会远吗？"该名言体现了（）",单选,C,普遍联系的观点,质量互变规律,前进性和曲折性相统一的观点,对立统一规律,0
"凡事预则立，不预则废"这一古训的哲学方法论意义是指（）",单选,D,正确认识事物的因果联系是自觉活动的决定性条件,"正确认识事物的因果联系同"神学目的"论划清界限",正确认识事物的因果联系同唯心主义划清界限,正确认识事物的因果联系可以提高实践活动的预见性,0
"人事有代谢，往来成古今。"唐代诗人孟浩然的这句诗体现的哲理是（）",单选,D,历史是客观的合规律的过程,人类社会是客观的不以人的意志为转移的,事物之间的联系是普遍的,一切事物都是发展变化的,0
"清代赵冀有诗曰："李杜诗篇万口传，至今已觉不新鲜。江山代有才人出，各领风骚数百年。"这首诗启发我们（）",单选,A,要把世界上的事物如实地看成是一个变化发展的过程,世界上的事物和现象是瞬息万变，难以把握的,要弄清事物在其发展过程中所处阶段,事物发展过程中只有偶然没有必然,0
"和而不同，同则不和"，这种对和谐的看法表明（）",单选,C,和谐与矛盾是排斥的,和谐和矛盾是同一的,和谐包含着矛盾,有矛盾就没有和谐
"《孙子兵法》曰："投入亡地然后存，陷于死地而后生。"韩信据此背水一战，打败赵军；马谡据此屯兵山下，痛失街亭。同是根据《兵法》却造成不同的结果。这说明（）",单选,B,矛盾具有普遍性。两者没有共性,具体问题具体分析是解决矛盾的关键,《兵法》本身有正确和错误之分,矛盾双方是既对立又统一的,0
"杜甫诗曰："挽弓当挽强，用箭当用长，射人先射马，擒贼先擒王。"这首诗蕴含的哲理是（）",单选,D,看问题要分清主流和支流,承认矛盾客观性，正确对待矛盾,既要看到矛盾主要方面，又要看到矛盾次要方面,抓主要矛盾，抓中心，抓关键,0
"鲁迅在评《三国演义》时说："至于写人，亦颇有失，以致欲显刘备之长厚而似伪，状诸葛之多智而近妖。"这一评述所蕴含的哲理是（）",单选,B,要区分事物的两重性,要把握事物的度,对事物既要肯定，又要否定,要把事物看成一个整体,0
"老子说："治大国如烹小鲜"，也就是说要注意火候。这说明（）",单选,C,要不失时机地促成飞跃,要重视内因的作用,要坚持适度原则,要重视量的积累,0
"心诚则灵，心不诚则不灵"的说法是（）",单选,D,主张物质和意识具有统一性的辩证唯物主义观点,主张思想就是物质的庸俗唯物主义观点,认为世界是绝对性神外化的客观唯心主义观点,夸大了意识能动作用的唯心主义观点,0
"在自然科学和社会科学的认识中，意识往往出现"超前反映"，这里"超前反映"的意识主要是指（）",单选,C,意识活动的对象性,意识活动的选择性,在观念中建立理性客体,意识活动的自控性,0
人们所从事的政治活动、社会改革、社会革命都属于（）,单选,B,改造物质世界的生产实践,处理社会关系的实践,变革上层建筑的意识性活动,科学实验,0
马克思主义认为，世界的本原是（）,单选,A,物质,意识,实践,存在,0
"东北二人转"是一种非物质文化遗产。新中国成立后，艺术家们对"二人转"曲牌在内容上取其精华、去其糟粕，继承健康、幽默、风趣的优良传统，在形式上不断出新，伴奏乐器增加了扬琴、琵琶等，并兼用武场鼓、锣、钹综合艺术质量不断提高。这说明发展（）",单选,B,是物质运动的一种方式和属性,是对旧事物的辩证否定,是新出现的事物取代旧事物的过程,是事物状态乃至性质的改变,0
"深处种菱浅种稻，不深不浅种荷花"是清代阮元《吴兴杂诗》中的名句。这一名句给我们的哲学启示是（）",单选,D,要重视量的积累,要学会从整体上把握事物的联系,要善于分析事物的因果联系,要学会具体问题具体分析,0
"从一个较长的历史时期来说，改革会使人人受益"，但"改革不是一首田园诗，它伴随着眼泪和痛苦"。这两句话包含的哲学道理主要是（）",单选,B,量变是质变的前提和必要准备，质变是量变的必然结果,事物的发展是前进性和曲折性的统一,矛盾的主要方面规定事物的性质,矛盾的双方在一定条件下相互转化,0
"党的十六届三中全会强调，要"进一步推动国有资本更多地投向关系国家安全和国民经济命脉的重要行业和关键领域，增强国有经济的控制力"。之所以要增强国有经济的控制力，从哲学上讲是因为（）",单选,B,任何事物都是部分与整体的统一,事物的性质主要是由取得支配地位的矛盾的主要方面所规定的,内因是事物变化发展的根本原因,事物的发展是由弱到强、由低级到高级的运动过程,0
司马光看到小孩掉入水缸，不是按照常规让人脱离水，而是打破水缸，让水脱离人；数学家高斯做级数连加，不是一个个逐次累计，而是创造性地运用一种新的程序来计算。从哲学上看，他们解决问题的方法给我们的共同启示是（）,单选,A,分析问题、解决问题要有创新精神,想问题、办事情要善于抓住机遇,发挥主观能动性偶尔可以背离客观规律,只要充分发挥主观能动性，问题就能解决,0
划分唯物主义和唯心主义的唯一标准是（）,单选,C,对物质和意识有无同一性问题的不同回答,对物质本质的不同回答,对物质和意识何者为第一性问题的不同回答,对意识本质的不同回答,0
运动着的物质的存在形式是（）,单选,C,机械、物理、化学、生命、社会,实践和社会,时间和空间,液体、固体、气体、等离子体,0
近年来，减轻中小学生负担过重的话题，一直受到社会各界的重视。目前学生负担过重表现在：一是课程门类偏多，内容偏难；二是书本太多；三是作业多、补习多、办班多。这些都给中小学生的身心健康、智力发展造成严重损害。从辩证法角度看，造成中小学生负担过重的原因是（）,单选,B,忽视了量的积累,违背了适度原则,曲解了肯定与否定辩证关系,否认了物质的决定作用,0
"不少农民习惯"跟风种地"，去年市场什么农产品走俏，今年就种什么，结果往往事与愿违。"跟风种地"的失败，从哲学上看，是因为他们没有（）",单选,A,从变化发展着的实际出发,抓住事物的主要矛盾,坚持一分为二的原则,坚持普遍联系的原则,0
"物是感觉的复合，存在就是被感知"这是（）",单选,C,形而上学唯物主义观点,辩证唯物主义观点,主观唯心主义观点,客观唯心主义观点,0
"哲学理论上的"两个对子"指的是（）",单选,C,唯物主义与唯心主义，历史唯物主义与历史唯心主义,机械唯物主义与辩证唯物主义，形而上学与辩证法,唯物主义与唯心主义，形而上学与辩证法,唯物辩证法与唯心辩证法，唯物史观与唯心史观,0
我们要坚定不移地推进西部大开发战略，同时要认识到东西部的发展差距是由于一些复杂的历史和现实的客观原因造成的，要从根本上改变西部面貌，需要几代人长期艰苦努力，决不能一蹴而就。这是因为（）,单选,B,质变是量变的必然结果,没有一定的量变的积累，就不会有质变的发生,质变是量变的前提和基础,内因是事物变化发展的根据,0
"中国古代的"五行说"属于（）",单选,A,朴素唯物主义,机械唯物主义,辩证唯物主义,庸俗唯物主义,0
矛盾的特殊性要求我们（）,单选,C,实事求是地承认矛盾,大胆揭露、勇敢面对矛盾,科学分析主要和次要矛盾,平稳化解矛盾,0
农业的歉收既影响农民的收入和农业扩大再生产的规模，也影响工业原料的来源和工业产品的销售，从因果关系看，这是（）,单选,A,一因多果,一果多因,同因异果,同果异因,0
"福兮祸所伏，祸兮福所倚"这句话体现了（）",单选,B,折衷主义思想,朴素辩证法思想,诡辩论思想,二元论思想,0
客观唯心主义的极端形式是（）,单选,A,宿命论,古希腊的柏拉图哲学,中国宋代的程朱理学,近代德国的黑格尔哲学,0
辩证的否定是对旧事物的（）,单选,B,全盘否定,既有克服又有保留,变相肯定,在旧事物中增加新内容,0
假象和本质具有鲜明的对立，因此（）,单选,D,假象和本质没有必然联系,有些假象和本质没有必然联系,假象和本质只有偶然联系,假象和本质有必然联系,0
认识世界的根本方法是（）,单选,D,从抽象到具体法,归纳演绎法,分析综合法,矛盾分析法,0
意识的本质是 （）,单选,B,各种感觉的综合,人脑对客观存在的主观映像,人脑分泌的特殊物质,"绝对精神"的体现",0
下列活动中，属于最基本的实践活动的是 （）,单选,A,农民播种小麦,医生给病人做手术,法官审理案件,科学家进行化学实验,0
"看问题"只见树林，不见森林"，是 （）",单选,C,唯物辩证法的观点,客观唯心主义观点,形而上学观点,不可知论观点,0
"盛年不努力，老大徒伤悲"说的是（）",单选,D,时间的持续性,时间的间断性,时间的重复性,时间的一维性,0
"一切以条件、地点和时间为转移"，这是（）",单选,A,唯物辩证法的观点,取消了人的主观能动性的观点,夸大了客观条件作用的观点,机械唯物主义的观点,0
主观唯心主义的极端形式是（）,单选,A,唯我论,唯心论,唯理论,经验论,0
必然性和偶然性的关系是（）,单选,B,偶然性通过必然性表现出来, 必然性通过偶然性表现出来,必然性是偶然性的表现形式,必然性为偶然性开辟道路,0
"人们常说："前途是光明的，道路是曲折的"。这句话体现的最主要的辩证法原理是（）",单选,C,世界永恒发展的原理,事物普遍联系的原理,否定之否定规律,质量互变规律,0
我国古典小说《三国演义》写诸葛亮用木马车送粮，而不是用汽车；《西游记》中的孙悟空能做到七十二变，可就是变不出计算机。这说明（）,单选,C,人们的立场不同，所以认识就不同,古代文学家思想保守，不善于联想，想象力不够,意识的内容来自客观事物,人们的思想认识是发展变化的,0
"事物发展的"度"是指（）",单选,C,事物质变的关节点,事物质变的临界点,事物保持一定质的量的限度,事物保持一定量的限度,0
"六七十年代，山西省昔阳县大寨村遵循"以粮为纲"的思想，单纯追求粮食产量，在山坡上修建梯田，导致水土流失严重。近年来，大寨提出以林养土，以木蓄水，改善生态环境的思想，将坡度在30度以上的坡地全部退耕还林，使原来的荒山变了样，既增加了经济效益，又改善了生态环境。这一事实蕴含的哲理是：（）",单选,B,意识是人脑对客观事物的反映,社会意识对社会存在具有积极和消极两种作用,物质是第一性的，意识是第二性的,世界是客观存在的物质世界,0
人类意识产生过程中起决定作用的是（）,单选,A,生产劳动,语言的产生,物质文明的发展,人脑的形成,0
