"社会一旦有技术上的需要，这种需要就会比十所大学更能把科学推向前进"。这句话包含的认识论道理是（）",单选,B,实践是检验认识正确与否的标准,实践是认识发展的动力,实践是认识的目的,实践是认识的来源,0
感性认识的形式是（）,单选,B,概念、判断、推理,感觉、知觉、表象,分析和综合,总结和概括,0
理性认识的形式是（）,单选,C,感觉、知觉、表象,感觉、分析、综合,概念、判断、推理,识记、联想、判断,0
一个完整的认识过程需要经过两次飞跃。下列各项属于第二次飞跃的是（）,单选,D,调查研究，了解情况,深人思考，形成理论,精心安排，制定计划,执行计划，付诸实践,0
一个认识的完整过程是（）,单选,B,感性认识-理性认识-感性认识,实践-认识-实践,认识-实践-认识,概念-判断-推理,0
一个正确的认识需要经过多次反复才能完成，整个人类的认识是（）,单选,A,有限与无限的统一,理论与实践的统一,感性与理性的统一,正确与错误的统一,0
两条根本对立的认识路线是（）,单选,C,可知论与不可知论的对立,唯物辩证法与形而上学的对立,唯物论的反映论与唯心论的认识论的对立,能动的反映论与被动的反映论的对立,0
驳斥不可知论最有力的论据是（）,单选,D,指出物质是可以通过感觉感知的,指出感性认识可以上升到理论认识,指出人的认识可以透过现象揭示本质,指出社会实践可以证明人能够正确认识客观世界,0
真理和谬误的区别在于（）,单选,D,真理是绝对的，谬误是相对的,真理是不变的，谬误是可变的,真理来源于实践，谬误是主观自生的,真理是对事物的正确反映，谬误是对事物的歪曲反映,0
承认真理的客观性与（）,单选,D,承认真理的相对性是一致的,承认真理的全面性是一致的,承认真理的具体性是一致的,承认真理的绝对性是一致的,0
把经过实践证实的理论看成是绝对真理，并把它当成是检验其他一切认识真理性的标准，这是一种（）,单选,A,形而上学和唯心主义的观点,辩证法和唯物主义的观点,相对主义诡辩论的观点,轻视实践经验的唯理论观点,0
在真理观上坚持辩证法，就必须承认（）,单选,B,真理是主体对客体的正确反映,真理既是绝对的又是相对的,真理既是正确的又包含某些错误,真理既是全面的又是具体的,0
既承认实践是检验真理的唯一标准，又承认逻辑证明在认识和探索真理中的作用，就是认为（）,单选,D,检验真理的标准是多元的,逻辑证明可以取代实践标准,逻辑证明可以最终证实或驳倒真理,被逻辑证明和证伪了的认识最终还要靠实践的检验,0
感性认识和理性认识的区别在于（）,单选,B,感性认识是可靠的，理性认识是不可靠的,感性认识是对现象的认识，理性认识是对本质的认识,感性认识来源于实践，理性认识来源于书本,感性认识来源于直接经验，理性认识来源于间接经验,0
在下列成对的理论中，属于唯物主义认识论与唯心主义认识论对立的是（）,单选,B,能动反映论与机械反映论的对立,反映论与先验论的对立,可知论与不可知论的对立,唯理论与经验论的对立,0
感性认识有待于上升到理性认识，这体现了（）,单选,B,认识论中的唯物论,认识论中的辩证法,认识论中的唯理论,认识论中的经验论,0
对马克思主义既要坚持，又要发展。这种正确态度的理论基础是（）,单选,C,认识是主体对客体的能动反映的原理,实践是认识的来源和目的原理,真理的绝对性和真理的相对性统一的原理,能动的反映是摹写和创造相统一的原理,0
相对真理是指（）,单选,C,不含有绝对性质的真理,包含有错误因素的真理,人们在一定条件下对客观事物及其规律的正确认识总是有限的,暂时正确的真理,0
实践高于理论认识，是因为实践具有（）,单选,D,普遍性,绝对性,客观实在性,直接现实性,0
"法国科学家路易·巴斯德说："在观察事物之际，机遇偏爱有准备的头脑。"这句话强调了（）",单选,B,人们对每一件事情都要细心观察,人们在认识事物时要有理性的指导,人们获得感性经验的重要性,人们要充分发挥主观能动性,0
实践是检验认识是否具有真理性的唯一标准，这个标准（）,单选,C,是绝对确定的,是不确定的,既是确定的，又是不确定的,既是历史的，又是逻辑的,0
辩证唯物主义认为，主体和客体的关系（）,单选,D,只是反映与被反映的关系,只是改造与被改造的关系,是指导和被指导的关系,不仅是改造与被改造的关系，而且也是反映与被反映的关系,0
"认识开始于感觉"，这是（）",单选,D,唯物主义的正确观点,唯心主义的错误观点,辩证唯物主义的唯一正确的观点,正确的观点，且唯物主义和唯心主义都能接受它,0
认识论就是反映论，这是（）,单选,A,一切唯物主义的共同原则,唯心主义和唯物主义都承认的原则,是可知论坚持的原则,一切不可知论都坚持的共同原则,0
辩证唯物主义认识论的基本观点是（）,单选,C,矛盾的观点,发展的观点,实践的观点,联系的观点,0
真理多元论的错误实质在于（）,单选,B,否认人的认识能力和水平不同,否认真理的客观性,否认人们的立场、观点和方法不同,否认真理的形式是主观的,0
"绝对真理和相对真理的区分既是确定的又是不确定的"，这是（）",单选,C,诡辩论的观点,实用主义的观点,唯物辩证法的观点,形而上学的观点,0
辩证唯物主义认识论认为真理的根本特征是（）,单选,C,主观的形式客观的内容,客观的形式主观的内容,主观同客观相符合的范畴,绝对性和相对性的统一,0
实践作为检验认识真理性的标准，其主要依据是（）,单选,B,它具有客观实在性,它具有直接现实性,它具有形式的多样性,它具有社会历史性,0
放在水中的筷子，看上去像是被折断了一样。对这一事实下列说法正确的是（）,单选,D,亲眼所见的都是对客观真实的反映,眼睛是最好的证人,感性只是解决现象问题，理性才能解决本质问题,这是一种用歪曲形式表现本质的现象,0
直接经验和间接经验的关系是（）,单选,C,认识内容和形式的关系,感性认识和理性认识的关系,"认识中"源"和"流"的关系",实践和理论的关系,0
以下论断属于唯心主义真理观的是（）,单选,A,有用即真理,凡真理必有用,有效的工具必以真理为依据,真理能在实践中达到预期效果,0
现代科技日新月异，并取得了许多重大成果，这一切对马克思主义哲学的影响是（）,单选,A,深化和拓展了马克思主义哲学宇宙观,使马克思主义哲学越来越不适应时代的要求,证明马克思主义哲学是绝对真理,对马克思主义哲学基本原理作出了否证,0
"认识是主体对客体的能动反映"。这是一种（）",单选,A,辩证唯物主义认识论观点,机械唯物主义认识论观点,主观唯心主义认识论观点,客观唯心主义认识论观点,0
辩证法与形而上学在真理观上的对立在于是否承认（）,单选,A,真理具有相对性,真理具有客观性,真理具有主观性,真理具有绝对性,0
要正确实现理性认识到实践的飞跃，必须使理论为群众所掌握，化为群众的自觉行动。这是因为（）,单选,B,群众是人口中的大多数,群众是社会实践的主体,群众的意见都是正确的,群众的行动都是合理的,0
下列选项中，属于理性认识不同于感性认识特点的是（）,单选,D,直接性,主观性,摹写性,抽象性,0
"对客观事物的反映即是真理"，这是（）",单选,A,混淆了真理性认识与一般认识的错误观点,辩证唯物主义的真理观,一切唯物主义的真理观,混淆了真理的相对性与绝对性的错误观点,0
真理的绝对性含义是指它的（）,单选,B,永恒性,无条件性、无限性,不变性,终极性,0
一种理论是不是真理，根本之处在于看它（）,单选,B,是否与已有的理论相一致,是否与客观实际相一致,是否说得清楚明白,是否被大多数人承认,0
"实践、认识、再实践、再认识，这种形式，循环往复以至无穷"体现的是（）",单选,B,唯心主义辩证法,唯物主义辩证法,朴素唯物主义观点,机械唯物主义观点,0
下列各项正确说明真理问题的是（）,单选,A,真理是有价值的,有用即真理,真理是永恒的,真理是万能的,0
自从20世纪80年代扫描隧道显微镜发明以后，世界上便诞生了一门以0.1~100纳米这样尺度为研究对象的新科学--纳米科技。纳米科技通过操纵原子、分子或原子团和分子团使其重新排列组合，形成新的物质，制造出具有新功能的产品。这说明（）①意识的能动作用是巨大的②人们能够认识和利用规律③人的认识能力是无限的，只有尚未被认识的事物，没有不可认识的事物④人们虽然无法创造物质，但人们可以改变物质的具体形态,单选,D, ① ②, ① ② ③, ① ③ ④ , ① ② ③ ④ ,0
真象与假象的区别在于（）,单选,D,真象是客观的，假象是主观的,真象是内在的，假象是外在的,真象表现本质，假象不表现本质,真象从正面直接地表现本质，假象从反面歪曲地表现本质,0
对于同一棵古树，植物学家考察的是它的生长习性，把古树顽强的生命力看作是美；木材商考虑的是它的木质和树围，把古树的实用价值看作是美；而画家则惊叹它奇特的外形，把古树的形态看作是美。上述对古树审美感受的差异表明（）,单选,D,人的认识具有主观随意性,认识对象是由主观意识创造的,理性认识是感性认识的基础,人的认识受主体因素的制约和影响,0
反映论是（）,单选,B,唯心主义认识论的基本原则,除庸俗唯物主义外一切唯物主义认识论的基本原则,唯物主义和唯心主义认识论的共同原则,辩证唯物主义认识论的特有原则,0
改革开放以来，大约有上万条新词汇产生。比如外资企业、知识经济、电子邮件、信用卡、再就业、QQ等等。从哲学上看，这一事实说明（）,单选,B,科学理论对实践具有指导作用,意识是客观存在的反映,意识是人脑的机能,理性认识依赖于感性认识,0
"实践是检验真理的标准，"这个标准也是这样的'不确定'，以便不至于使人的知识变成'绝对'，同时它又是这样的确定，以便同唯心主义和不可知论的一切变种进行无情的斗争"这句话表明（）",单选,B,实践标准是不确定的,实践标准是绝对性与相对性的统一,实践标准也不可靠,实践不是检验真理的唯一标准,0
传统的植物学理论认为：水稻.小麦等自花授粉作物没有杂交优势。而我国科学院袁隆平等科学家在实践中观察的现象与此不符，于是大胆创新，反复试验，成功培育出三系杂交稻，使水稻的产量大幅提高。这表明（）,单选,B,正确的理论对实践有重大指导意义,理论必须在实践中得到检验和发展,原来正确的理论随着时间的发展会逐渐丧失其合理性,通过实践，总会发现以往认识中的错误,0
以下论断属于唯心主义真理观的是（）,单选,A,有用即真理,真理必有用,有效的工具必以真理为依据,真理必在实践中达到预期效果,0
